"gemeente","soort","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","TSS","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy"
"Deurne","gladde_slang",0.651851851851852,0.285875070343275,0.565132949126738,0.731747056124932,0.837037037037037,0.999999955143891,8.99293948873039e-10,0.909090909090909,0.601769911504425,0.510860820595334,0.307692307692308,0.971428571428571,0.307692307692308,0.909090909090909,0.459770114942529,0.162962962962963,0.148148148148148,0.481481481481481,0.755430410297667
"Deurne","levendbarende_hagedis",0.456375838926175,0.145436521985414,0.37463583334293,0.539885160971787,0.812080536912752,1,4.44955195702086e-18,0.964285714285714,0.338842975206612,0.303128689492326,0.252336448598131,0.976190476190476,0.252336448598131,0.964285714285714,0.4,0.187919463087248,0.181208053691275,0.718120805369127,0.651564344746163
"Deurne","zandhagedis",0.925,0.470198675496689,0.843872068263928,0.971979453823159,0.9625,0.969346421708963,0.0412268333371636,1,0.922077922077922,0.922077922077922,0.333333333333333,1,0.333333333333333,1,0.5,0.0375,0.0375,0.1125,0.961038961038961
"Ede","adder",0.701342281879195,0.446651366576257,0.645878919402651,0.752750072034074,0.664429530201342,0.0980029361654968,5.38780993188854e-19,0.98,0.560606060606061,0.540606060606061,0.52972972972973,0.982300884955752,0.52972972972973,0.98,0.687719298245614,0.335570469798658,0.328859060402685,0.620805369127517,0.77030303030303
"Ede","gladde_slang",0.662404092071611,0.372513738267762,0.613157369419265,0.709170042776918,0.575447570332481,0.000265787508878048,2.09821124399473e-28,0.987951807228916,0.422222222222222,0.410174029451138,0.557823129251701,0.979381443298969,0.557823129251701,0.987951807228916,0.713043478260869,0.424552429667519,0.419437340153453,0.751918158567775,0.705087014725569
"Ede","hazelworm",0.565317919075145,0.139754230608499,0.531529515940622,0.598659907803134,0.50635838150289,0.000291352334133741,4.85311761235509e-79,0.988290398126464,0.15296803652968,0.141258434656144,0.532156368221942,0.930555555555555,0.532156368221942,0.988290398126464,0.691803278688525,0.49364161849711,0.487861271676301,0.916763005780347,0.570629217328072
"Ede","levendbarende_hagedis",0.444444444444444,0.142828895333509,0.387912077223995,0.502062820083783,0.738562091503268,1,1.4729784766237e-37,0.9875,0.252212389380531,0.239712389380531,0.318548387096774,0.982758620689655,0.318548387096774,0.9875,0.481707317073171,0.261437908496732,0.258169934640523,0.810457516339869,0.619856194690266
"Ede","ringslang",0.284810126582278,0.0424755979834817,0.235691045600785,0.338015482213311,0.791139240506329,1,1.2104625588937e-50,1,0.096,0.0960000000000001,0.226027397260274,1,0.226027397260274,1,0.368715083798883,0.208860759493671,0.208860759493671,0.924050632911392,0.548
"Ede","zandhagedis",0.656944444444444,0.245276613081193,0.620985484764243,0.691611056982669,0.559722222222222,6.65726013465299e-08,1.69091842561495e-48,0.98014888337469,0.246056782334385,0.226205665709075,0.623028391167193,0.906976744186047,0.623028391167192,0.98014888337469,0.761812921890068,0.559722222222222,0.548611111111111,0.880555555555556,0.613102832854537
"Epe","adder",0.717241379310345,0.471790315415371,0.636541747921439,0.788835337958979,0.613793103448276,0.0059324578926338,2.94557453309905e-09,0.982142857142857,0.550561797752809,0.532704654895666,0.578947368421053,0.98,0.578947368421053,0.982142857142857,0.728476821192053,0.386206896551724,0.379310344827586,0.655172413793103,0.766352327447833
"Epe","gladde_slang",0.72,0.443069306930693,0.640925149951254,0.790164731142253,0.706666666666667,0.398465388497847,1.72351354680623e-06,0.886363636363636,0.650943396226415,0.537307032590051,0.513157894736842,0.932432432432432,0.513157894736842,0.886363636363636,0.65,0.293333333333333,0.26,0.506666666666667,0.768653516295026
"Epe","hazelworm",0.700564971751412,0.318488921176898,0.649902633411468,0.747835025162453,0.581920903954802,2.65680642459917e-06,1.01981485764707e-22,0.990291262135922,0.297297297297297,0.28758855943322,0.662337662337662,0.956521739130435,0.662337662337662,0.990291262135922,0.793774319066148,0.581920903954802,0.576271186440678,0.870056497175141,0.64379427971661
"Epe","levendbarende_hagedis",0.640316205533597,0.316723549488055,0.577831076408492,0.699470576724439,0.545454545454545,0.00139336532684066,1.30162987802208e-18,0.973913043478261,0.36231884057971,0.336231884057971,0.56,0.943396226415094,0.56,0.973913043478261,0.711111111111111,0.454545454545455,0.442687747035573,0.790513833992095,0.668115942028985
"Epe","ringslang",0.396341463414634,0.0223988439306358,0.320930307326007,0.475570107455132,0.621951219512195,0.999999998393815,6.89745547834956e-23,1,0.0294117647058824,0.0294117647058822,0.385093167701863,1,0.385093167701863,1,0.556053811659193,0.378048780487805,0.378048780487805,0.981707317073171,0.514705882352941
"Epe","zandhagedis",0.647286821705426,0.351901948876498,0.585611409462411,0.705534138681453,0.589147286821705,0.0324873058869408,1.96422664061587e-19,0.981132075471698,0.414473684210526,0.395605759682224,0.538860103626943,0.969230769230769,0.538860103626943,0.981132075471698,0.695652173913043,0.410852713178295,0.403100775193798,0.748062015503876,0.697802879841112
"Horst","gladde_slang",0.74,0.412060301507538,0.662143279347338,0.808124182233042,0.833333333333333,0.998661564662758,8.18451656784323e-09,0.96,0.696,0.656,0.387096774193548,0.988636363636364,0.387096774193548,0.96,0.551724137931034,0.166666666666667,0.16,0.413333333333333,0.828
"Horst","levendbarende_hagedis",0.582352941176471,0.278023687043905,0.504382773523882,0.657400042131556,0.747058823529412,0.999999083075072,7.02318270341164e-16,0.976744186046512,0.448818897637795,0.425563083684307,0.375,0.982758620689655,0.375,0.976744186046512,0.541935483870968,0.252941176470588,0.247058823529412,0.658823529411765,0.712781541842153
"Huizen","levendbarende_hagedis",0.68,0.375,0.533006159885269,0.804795805337161,0.8,0.985558342682742,0.000176834570401608,1,0.6,0.6,0.384615384615385,1,0.384615384615385,1,0.555555555555556,0.2,0.2,0.52,0.8
"Huizen","ringslang",0.355555555555556,0.0777385159010601,0.218684010735586,0.512198994851854,0.755555555555556,0.999999997310761,1.99858150813818e-07,1,0.147058823529412,0.147058823529412,0.275,1,0.275,1,0.431372549019608,0.244444444444444,0.244444444444444,0.888888888888889,0.573529411764706
"Huizen","zandhagedis",0.678571428571429,0.416666666666667,0.476483593290382,0.841223962113846,0.678571428571429,0.589064255840104,0.00766076113517949,1,0.526315789473684,0.526315789473684,0.5,1,0.5,1,0.666666666666667,0.321428571428571,0.321428571428571,0.642857142857143,0.763157894736842
"Ommen","adder",0.80625,0.563380281690141,0.736405196957526,0.864397066115412,0.78125,0.254890517451467,4.93176926807834e-07,0.971428571428571,0.76,0.731428571428571,0.53125,0.989583333333333,0.53125,0.971428571428571,0.686868686868687,0.21875,0.2125,0.4,0.865714285714286
"Ommen","hazelworm",0.684210526315789,0.335707348656523,0.590510083558232,0.7680673903046,0.850877192982456,0.999997950848539,5.43308747417623e-09,1,0.628865979381443,0.628865979381443,0.320754716981132,1,0.320754716981132,1,0.485714285714286,0.149122807017544,0.149122807017544,0.464912280701754,0.814432989690722
"Ommen","levendbarende_hagedis",0.759803921568627,0.543311403508772,0.695185454459702,0.816707306225171,0.598039215686274,8.35112772410521e-07,4.98347917909857e-11,0.98780487804878,0.60655737704918,0.594362255097961,0.627906976744186,0.986666666666667,0.627906976744186,0.98780487804878,0.767772511848341,0.401960784313726,0.397058823529412,0.632352941176471,0.79718112754898
"Ommen","ringslang",0.723529411764706,0.391840462779723,0.64983294757687,0.789253518932573,0.741176470588235,0.7328734610951,0.000463933798350804,0.75,0.714285714285714,0.464285714285714,0.478260869565217,0.891089108910891,0.478260869565217,0.75,0.584070796460177,0.258823529411765,0.194117647058824,0.405882352941176,0.732142857142857
"Ommen","zandhagedis",0.803571428571429,0.603092783505155,0.735351935976952,0.860761815760171,0.642857142857143,4.10892251247369e-06,0.000498514893575205,0.9,0.75,0.65,0.666666666666667,0.931034482758621,0.666666666666667,0.9,0.765957446808511,0.357142857142857,0.321428571428571,0.482142857142857,0.825
